#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Alan
#Serial Number: SN:210321A3716A
#Date Time: 2024-05-02 16:04:05.052
#Sample rate: 1.5873e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: -150 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V
#Channel 2: Range: 200 mV/div Offset: 0 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.00058085999999999988,-0.021436995076770639,-0.33239607798727561
-0.00058023000000000016,-0.022429633012060277,-0.33306202321318445
-0.00057959999999999999,-0.023091391635587454,-0.33406094105204837
-0.00057896999999999983,-0.022760512323824238,-0.33306202321318518
-0.0005783400000000001,-0.023091391635587454,-0.33406094105204837
-0.00057770999999999994,-0.02408402957087754,-0.33472688627795749
-0.00057708000000000021,-0.02408402957087754,-0.33539283150386634
-0.00057645000000000005,-0.024414908882640904,-0.33572580411682118
-0.00057581999999999989,-0.024745788194404265,-0.33505985889091205
-0.00057519000000000016,-0.024745788194404265,-0.3357258041168209
-0.00057456,-0.025738426129694354,-0.33672472195568481
-0.00057392999999999984,-0.026400184753221229,-0.33705769456863999
-0.00057330000000000011,-0.02673106406498444,-0.33838958502045757
-0.00057266999999999995,-0.025738426129694354,-0.3377236397945485
-0.00057203999999999979,-0.026731064064984891,-0.3387225576334123
-0.00057141000000000006,-0.02772370200027453,-0.3390555302463667
-0.0005707799999999999,-0.02772370200027453,-0.3390555302463667
-0.00057015000000000017,-0.027061943376748106,-0.33705769456864026
-0.00056952000000000001,-0.027392822688511169,-0.33805661240750301
-0.00056888999999999985,-0.028054581312038043,-0.33905553024636625
-0.00056826000000000012,-0.028385460623801255,-0.33805661240750301
-0.00056762999999999996,-0.028385460623801255,-0.33872255763341214
-0.0005669999999999998,-0.029708977870854556,-0.34005444808523078
-0.00056637000000000007,-0.029378098559091344,-0.34105336592409402
-0.00056573999999999991,-0.029378098559091344,-0.34038742069818489
-0.00056511000000000018,-0.029378098559091344,-0.3400544480852305
-0.00056448000000000002,-0.029708977870854705,-0.34038742069818489
