#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Alan
#Serial Number: SN:210321A3716A
#Date Time: 2024-05-09 16:12:17.141
#Sample rate: 160000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 100 mV/div Offset: 0 V
#Channel 2: Range: 100 mV/div Offset: 0 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.020598958333333334,-0.19084720269961233,-0.20886323858113601
-0.020592708333333331,-0.19150896132313969,-0.20886323858113601
-0.020586458333333332,-0.19283247857019251,-0.20886323858113601
-0.020580208333333332,-0.19349423719371925,-0.20919621119409057
-0.020573958333333333,-0.19448687512900933,-0.20886323858113601
-0.020567708333333334,-0.19547951306429942,-0.20952918380704511
-0.020561458333333331,-0.19680303031135318,-0.20952918380704511
-0.020555208333333332,-0.19746478893487959,-0.20952918380704511
-0.020548958333333332,-0.19779566824664296,-0.20952918380704511
-0.020542708333333333,-0.19845742687016968,-0.20952918380704511
-0.020536458333333334,-0.19878830618193305,-0.20986215641999967
-0.020530208333333331,-0.19878830618193349,-0.20986215641999953
-0.020523958333333332,-0.19978094411722314,-0.20952918380704511
-0.020517708333333332,-0.19911918549369642,-0.20986215641999967
-0.020511458333333333,-0.19978094411722314,-0.20952918380704511
-0.020505208333333334,-0.20011182342898651,-0.20986215641999967
-0.020498958333333331,-0.19978094411722327,-0.20986215641999967
-0.020492708333333332,-0.20011182342898651,-0.20986215641999967
-0.020486458333333332,-0.20011182342898651,-0.20986215641999967
-0.020480208333333333,-0.19978094411722314,-0.20952918380704511
-0.020473958333333334,-0.19945006480545976,-0.20952918380704511
-0.020467708333333331,-0.19845742687016968,-0.20952918380704511
-0.020461458333333331,-0.19845742687016968,-0.20952918380704511
-0.020455208333333332,-0.19812654755840631,-0.20952918380704511
-0.020448958333333333,-0.19746478893487959,-0.20952918380704511
-0.020442708333333334,-0.19680303031135288,-0.20886323858113601
-0.020436458333333331,-0.19581039237606249,-0.20952918380704466
-0.020430208333333331,-0.19514863375253605,-0.20853026596818144
-0.020423958333333332,-0.19481775444077271,-0.20886323858113601
-0.020417708333333333,-0.19349423719371925,-0.20853026596818144
-0.020411458333333334,-0.19217071994666579,-0.20819729335522688
-0.020405208333333331,-0.19150896132313847,-0.20853026596818114
-0.020398958333333331,-0.19018544407608562,-0.20786432074227235
-0.020392708333333332,-0.18886192682903216,-0.20786432074227235
-0.020386458333333333,-0.1875384095819787,-0.20786432074227235
-0.020380208333333334,-0.18621489233492527,-0.20753134812931778
-0.020373958333333334,-0.18489137508787243,-0.20719837551636336
-0.020367708333333331,-0.18290609921729165,-0.20686540290340868
-0.020361458333333332,-0.18125170265847482,-0.20686540290340868
-0.020355208333333333,-0.17959730609965802,-0.20686540290340868
-0.020348958333333333,-0.17761203022907784,-0.20619945767749956
-0.020342708333333334,-0.176288512982025,-0.20553351245159077
-0.020336458333333331,-0.17463411642320756,-0.20553351245159046
-0.020330208333333332,-0.17231796124086404,-0.2052005398386359
-0.020323958333333333,-0.17033268537028384,-0.20486756722568136
-0.020317708333333333,-0.16768565087617696,-0.20420162199977224
-0.020311458333333334,-0.1657003750055977,-0.20420162199977224
-0.020305208333333331,-0.16371509913501661,-0.20353567677386314
-0.020298958333333332,-0.16172982326443641,-0.20320270416090858
-0.020292708333333333,-0.15908278877032953,-0.20286973154795401
-0.020286458333333333,-0.15676663358798598,-0.20220378632204491
