#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Alan
#Serial Number: SN:210321A3716A
#Date Time: 2024-05-09 16:10:12.985
#Sample rate: 160000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 100 mV/div Offset: 0 V
#Channel 2: Range: 100 mV/div Offset: 0 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.020598863636363637,-0.19018544407608562,-0.41563923122591417
-0.020592613636363635,-0.19084720269961308,-0.41630517645182413
-0.020586363636363635,-0.19250159925842916,-0.41830301212955062
-0.020580113636363636,-0.19316335788195588,-0.41896895735545969
-0.020573863636363637,-0.19448687512900933,-0.41996787519432338
-0.020567613636363637,-0.19547951306429942,-0.42096679303318701
-0.020561363636363635,-0.19614127168782658,-0.42196571087205098
-0.020555113636363635,-0.19713390962311622,-0.42263165609795977
-0.020548863636363636,-0.19779566824664296,-0.42296462871091434
-0.020542613636363637,-0.19812654755840631,-0.42363057393682346
-0.020536363636363637,-0.19845742687016968,-0.42363057393682346
-0.020530113636363635,-0.19945006480545976,-0.42462949177568698
-0.020523863636363635,-0.19945006480545976,-0.42429651916273259
-0.020517613636363636,-0.19978094411722314,-0.42462949177568715
-0.020511363636363637,-0.19945006480545976,-0.42462949177568715
-0.020505113636363637,-0.19978094411722314,-0.42429651916273259
-0.020498863636363635,-0.20011182342898651,-0.42496246438864166
-0.020492613636363635,-0.20011182342898651,-0.42496246438864166
-0.020486363636363636,-0.19978094411722314,-0.42396354654977803
-0.020480113636363637,-0.19945006480545976,-0.42363057393682346
-0.020473863636363637,-0.19945006480545976,-0.4232976013238689
-0.020467613636363634,-0.19911918549369598,-0.42263165609795933
-0.020461363636363635,-0.19812654755840631,-0.42163273825909614
-0.020455113636363636,-0.19812654755840631,-0.42129976564614158
-0.020448863636363637,-0.19812654755840631,-0.42096679303318701
-0.020442613636363637,-0.19680303031135288,-0.41963490258136882
