Voltage(V),Current(A)
-9.999780005,-1.00E-06
-9.999779996,-1.00E-06
-9.999779978,-1.00E-06
-9.999779942,-1.00E-06
-9.999779879,-1.00E-06
-9.999779784,-1.00E-06
-9.999779652,-1.00E-06
-9.999779476,-1.00E-06
-9.999779249,-1.00E-06
-9.999778965,-1.00E-06
-9.999778619,-1.00E-06
-9.999778203,-1.00E-06
-9.999777712,-1.00E-06
-9.999777138,-1.00E-06
-9.999776477,-1.00E-06
-9.999775721,-1.00E-06
-9.999774864,-1.00E-06
-9.9997739,-1.00E-06
-9.999772823,-1.00E-06
-9.999771626,-1.00E-06
-9.999770303,-1.00E-06
-9.999768848,-1.00E-06
-9.999767254,-1.00E-06
-9.999765515,-1.00E-06
-9.999763625,-1.00E-06
-9.999761578,-1.00E-06
-9.999759366,-1.00E-06
-9.999756985,-1.00E-06
-9.999754427,-1.00E-06
-9.999751687,-1.00E-06
-9.999748758,-1.00E-06
-9.999745633,-1.00E-06
-9.999742306,-1.00E-06
-9.999738772,-1.00E-06
-9.999735024,-1.00E-06
-9.999731055,-1.00E-06
-9.999726859,-1.00E-06
-9.99972243,-1.00E-06
-9.999717762,-1.00E-06
-9.999712848,-1.00E-06
-9.999707682,-1.00E-06
-9.999702258,-1.00E-06
-9.999696569,-1.00E-06
-9.99969061,-1.00E-06
-9.999684373,-1.00E-06
-9.999677853,-1.00E-06
-9.999671042,-1.00E-06
-9.999663936,-1.00E-06
-9.999656528,-1.00E-06
-9.99964881,-1.00E-06
-9.999640778,-1.00E-06
-9.999632424,-1.00E-06
-9.999623743,-1.00E-06
-9.999614728,-1.00E-06
-9.999605373,-1.00E-06
-9.999595671,-1.00E-06
-9.999585616,-1.00E-06
-9.999575203,-1.00E-06
-9.999564424,-1.00E-06
-9.999553273,-1.00E-06
-9.999541744,-1.00E-06
-9.999529831,-1.00E-06
-9.999517527,-1.00E-06
-9.999504827,-1.00E-06
-9.999491723,-1.00E-06
-9.99947821,-1.00E-06
-9.999464281,-1.00E-06
-9.99944993,-1.00E-06
-9.99943515,-1.00E-06
-9.999419936,-1.00E-06
-9.999404281,-1.00E-06
-9.999388179,-1.00E-06
-9.999371623,-1.00E-06
-9.999354607,-1.00E-06
-9.999337125,-1.00E-06
-9.99931917,-1.00E-06
-9.999300737,-1.00E-06
-9.999281818,-1.00E-06
-9.999262408,-1.00E-06
-9.999242501,-1.00E-06
-9.999222089,-1.00E-06
-9.999201167,-1.00E-06
-9.999179729,-1.00E-06
-9.999157768,-1.00E-06
-9.999135277,-1.00E-06
-9.999112251,-1.00E-06
-9.999088683,-1.00E-06
-9.999064567,-1.00E-06
-9.999039897,-1.00E-06
-9.999014666,-1.00E-06
-9.998988868,-1.00E-06
-9.998962497,-1.00E-06
-9.998935546,-1.00E-06
-9.99890801,-1.00E-06
-9.998879881,-1.00E-06
-9.998851153,-1.00E-06
