Voltage(V),Current(A)
-1.104994905,-0.040431841
-1.104994905,-0.040431841
-1.104994904,-0.040431841
-1.104994902,-0.040431841
-1.1049949,-0.040431841
-1.104994895,-0.04043184
-1.10499489,-0.04043184
-1.104994882,-0.040431839
-1.104994872,-0.040431838
-1.104994859,-0.040431837
-1.104994844,-0.040431835
-1.104994826,-0.040431834
-1.104994804,-0.040431831
-1.104994779,-0.040431829
-1.10499475,-0.040431826
-1.104994716,-0.040431823
-1.104994679,-0.040431819
-1.104994636,-0.040431815
-1.104994589,-0.04043181
-1.104994536,-0.040431805
-1.104994478,-0.040431799
-1.104994414,-0.040431793
-1.104994344,-0.040431786
-1.104994267,-0.040431778
-1.104994184,-0.04043177
-1.104994094,-0.040431761
-1.104993996,-0.040431752
-1.104993891,-0.040431741
-1.104993779,-0.04043173
-1.104993658,-0.040431718
-1.104993529,-0.040431706
-1.104993391,-0.040431692
-1.104993245,-0.040431678
-1.104993089,-0.040431662
-1.104992924,-0.040431646
-1.10499275,-0.040431629
-1.104992565,-0.04043161
-1.10499237,-0.040431591
-1.104992164,-0.040431571
-1.104991948,-0.04043155
-1.10499172,-0.040431527
-1.104991481,-0.040431504
-1.104991231,-0.040431479
-1.104990969,-0.040431453
-1.104990694,-0.040431426
-1.104990407,-0.040431397
-1.104990107,-0.040431368
-1.104989794,-0.040431337
-1.104989468,-0.040431305
-1.104989128,-0.040431271
-1.104988774,-0.040431236
-1.104988406,-0.0404312
-1.104988024,-0.040431162
-1.104987627,-0.040431123
-1.104987215,-0.040431082
-1.104986788,-0.04043104
-1.104986345,-0.040430997
-1.104985887,-0.040430951
-1.104985412,-0.040430905
-1.104984921,-0.040430856
-1.104984413,-0.040430806
-1.104983889,-0.040430754
-1.104983347,-0.040430701
-1.104982788,-0.040430646
-1.104982211,-0.040430589
-1.104981616,-0.04043053
-1.104981002,-0.040430469
-1.10498037,-0.040430407
-1.104979719,-0.040430343
-1.104979049,-0.040430277
-1.10497836,-0.040430209
-1.104977651,-0.040430139
-1.104976922,-0.040430067
-1.104976173,-0.040429993
-1.104975403,-0.040429917
-1.104974612,-0.040429839
-1.1049738,-0.040429759
-1.104972967,-0.040429677
-1.104972113,-0.040429592
-1.104971236,-0.040429506
-1.104970337,-0.040429417
-1.104969416,-0.040429326
-1.104968472,-0.040429233
-1.104967505,-0.040429137
-1.104966514,-0.04042904
-1.104965501,-0.04042894
-1.104964463,-0.040428837
-1.104963401,-0.040428732
-1.104962314,-0.040428625
-1.104961203,-0.040428516
-1.104960067,-0.040428404
-1.104958906,-0.040428289
-1.104957719,-0.040428172
-1.104956507,-0.040428052
-1.104955268,-0.04042793
-1.104954003,-0.040427805
-1.104952711,-0.040427678
-1.104951393,-0.040427548
-1.104950047,-0.040427415
-1.104948674,-0.040427279
-1.104947273,-0.040427141
-1.104945844,-0.040427
-1.104944387,-0.040426856
-1.104942901,-0.04042671
-1.104941386,-0.04042656
