Voltage(V),Current(A)
-1.874079567,-0.036936002
-1.874079566,-0.036936002
-1.874079563,-0.036936002
-1.874079559,-0.036936002
-1.87407955,-0.036936001
-1.874079537,-0.036936001
-1.874079518,-0.036936001
-1.874079494,-0.036936
-1.874079462,-0.036935999
-1.874079423,-0.036935998
-1.874079375,-0.036935997
-1.874079317,-0.036935995
-1.874079248,-0.036935993
-1.874079168,-0.036935991
-1.874079076,-0.036935988
-1.874078971,-0.036935985
-1.874078852,-0.036935982
-1.874078718,-0.036935978
-1.874078568,-0.036935974
-1.874078401,-0.036935969
-1.874078217,-0.036935964
-1.874078015,-0.036935958
-1.874077793,-0.036935952
-1.874077551,-0.036935945
-1.874077288,-0.036935938
-1.874077003,-0.03693593
-1.874076695,-0.036935921
-1.874076363,-0.036935912
-1.874076007,-0.036935902
-1.874075626,-0.036935891
-1.874075218,-0.03693588
-1.874074783,-0.036935867
-1.87407432,-0.036935854
-1.874073829,-0.036935841
-1.874073307,-0.036935826
-1.874072754,-0.03693581
-1.87407217,-0.036935794
-1.874071554,-0.036935777
-1.874070904,-0.036935758
-1.87407022,-0.036935739
-1.874069501,-0.036935719
-1.874068746,-0.036935698
-1.874067955,-0.036935675
-1.874067125,-0.036935652
-1.874066257,-0.036935628
-1.87406535,-0.036935602
-1.874064402,-0.036935576
-1.874063413,-0.036935548
-1.874062381,-0.036935519
-1.874061307,-0.036935489
-1.874060189,-0.036935457
-1.874059027,-0.036935424
-1.874057818,-0.036935391
-1.874056564,-0.036935355
-1.874055262,-0.036935319
-1.874053911,-0.036935281
-1.874052512,-0.036935241
-1.874051062,-0.036935201
-1.874049562,-0.036935158
-1.87404801,-0.036935115
-1.874046406,-0.03693507
-1.874044747,-0.036935023
-1.874043035,-0.036934975
-1.874041267,-0.036934925
-1.874039443,-0.036934874
-1.874037563,-0.036934821
-1.874035624,-0.036934767
-1.874033627,-0.03693471
-1.87403157,-0.036934653
-1.874029452,-0.036934593
-1.874027273,-0.036934532
-1.874025032,-0.036934469
-1.874022728,-0.036934404
-1.874020359,-0.036934337
-1.874017926,-0.036934269
-1.874015427,-0.036934199
-1.874012861,-0.036934127
-1.874010228,-0.036934053
-1.874007527,-0.036933977
-1.874004756,-0.036933899
-1.874001915,-0.036933819
-1.873999003,-0.036933737
-1.873996019,-0.036933653
-1.873992962,-0.036933567
-1.873989832,-0.036933479
-1.873986627,-0.036933389
-1.873983347,-0.036933297
-1.873979991,-0.036933203
-1.873976557,-0.036933106
-1.873973045,-0.036933007
-1.873969455,-0.036932906
-1.873965784,-0.036932803
-1.873962033,-0.036932698
-1.8739582,-0.03693259
-1.873954285,-0.03693248
-1.873950287,-0.036932367
-1.873946204,-0.036932253
-1.873942037,-0.036932136
-1.873937783,-0.036932016
-1.873933443,-0.036931894
-1.873929015,-0.036931769
-1.873924498,-0.036931642
-1.873919892,-0.036931513
-1.873915196,-0.036931381
-1.873910408,-0.036931246
-1.873905529,-0.036931109
-1.873900556,-0.036930969
-1.87389549,-0.036930827
-1.873890329,-0.036930682
-1.873885072,-0.036930534
-1.873879719,-0.036930384
-1.873874269,-0.03693023
-1.87386872,-0.036930074
-1.873863072,-0.036929916
-1.873857325,-0.036929754
-1.873851476,-0.03692959
-1.873845526,-0.036929422
-1.873839473,-0.036929252
-1.873833317,-0.036929079
-1.873827056,-0.036928903
-1.87382069,-0.036928724
-1.873814219,-0.036928542
-1.87380764,-0.036928357
-1.873800953,-0.036928169
-1.873794157,-0.036927978
-1.873787252,-0.036927784
-1.873780237,-0.036927587
-1.87377311,-0.036927386
-1.873765871,-0.036927183
-1.873758518,-0.036926976
-1.873751052,-0.036926766
-1.873743471,-0.036926553
-1.873735774,-0.036926337
-1.873727961,-0.036926117
-1.87372003,-0.036925894
-1.87371198,-0.036925668
-1.873703811,-0.036925438
-1.873695523,-0.036925205
-1.873687113,-0.036924969
-1.873678581,-0.036924729
-1.873669927,-0.036924486
-1.873661149,-0.036924239
-1.873652246,-0.036923989
-1.873643218,-0.036923735
-1.873634064,-0.036923477
-1.873624783,-0.036923216
-1.873615373,-0.036922952
-1.873605835,-0.036922684
-1.873596167,-0.036922412
-1.873586369,-0.036922137
-1.873576438,-0.036921857
-1.873566376,-0.036921574
-1.87355618,-0.036921288
-1.87354585,-0.036920997
-1.873535385,-0.036920703
-1.873524784,-0.036920405
-1.873514046,-0.036920103
-1.87350317,-0.036919798
-1.873492156,-0.036919488
-1.873481003,-0.036919174
-1.873469709,-0.036918857
-1.873458274,-0.036918535
-1.873446697,-0.03691821
-1.873434978,-0.03691788
-1.873423114,-0.036917547
-1.873411105,-0.036917209
-1.873398952,-0.036916868
-1.873386651,-0.036916522
-1.873374204,-0.036916172
-1.873361608,-0.036915818
-1.873348863,-0.03691546
-1.873335968,-0.036915097
-1.873322922,-0.03691473
-1.873309725,-0.036914359
-1.873296375,-0.036913984
-1.873282872,-0.036913604
-1.873269214,-0.03691322
-1.873255401,-0.036912832
-1.873241432,-0.036912439
-1.873227306,-0.036912042
-1.873213022,-0.036911641
-1.87319858,-0.036911235
-1.873183978,-0.036910824
-1.873169215,-0.036910409
-1.873154291,-0.03690999
-1.873139205,-0.036909565
-1.873123956,-0.036909137
-1.873108543,-0.036908703
-1.873092964,-0.036908265
-1.873077221,-0.036907823
-1.87306131,-0.036907376
-1.873045232,-0.036906924
-1.873028986,-0.036906467
-1.873012571,-0.036906005
-1.872995985,-0.036905539
-1.872979229,-0.036905068
-1.8729623,-0.036904592
-1.872945199,-0.036904111
-1.872927924,-0.036903626
-1.872910475,-0.036903135
-1.87289285,-0.03690264
-1.872875049,-0.036902139
-1.872857071,-0.036901634
-1.872838915,-0.036901123
-1.87282058,-0.036900608
-1.872802066,-0.036900087
-1.87278337,-0.036899562
-1.872764494,-0.036899031
-1.872745434,-0.036898495
-1.872726192,-0.036897954
-1.872706765,-0.036897408
-1.872687154,-0.036896857
-1.872667356,-0.0368963
-1.872647372,-0.036895739
-1.8726272,-0.036895172
-1.872606839,-0.036894599
-1.872586289,-0.036894021
-1.872565549,-0.036893438
-1.872544618,-0.03689285
-1.872523494,-0.036892256
-1.872502178,-0.036891657
-1.872480668,-0.036891052
-1.872458963,-0.036890442
-1.872437063,-0.036889826
-1.872414966,-0.036889205
-1.872392672,-0.036888578
-1.87237018,-0.036887946
-1.872347489,-0.036887308
-1.872324597,-0.036886665
-1.872301505,-0.036886015
-1.872278212,-0.036885361
-1.872254716,-0.0368847
-1.872231016,-0.036884034
-1.872207112,-0.036883362
-1.872183003,-0.036882684
-1.872158687,-0.036882
-1.872134165,-0.036881311
-1.872109435,-0.036880616
-1.872084496,-0.036879915
-1.872059348,-0.036879208
-1.872033989,-0.036878495
-1.872008419,-0.036877776
-1.871982637,-0.036877051
-1.871956642,-0.03687632
-1.871930432,-0.036875584
-1.871904008,-0.036874841
-1.871877368,-0.036874092
-1.871850512,-0.036873337
-1.871823438,-0.036872576
-1.871796145,-0.036871808
-1.871768634,-0.036871035
-1.871740902,-0.036870255
-1.871712949,-0.03686947
-1.871684775,-0.036868678
-1.871656378,-0.036867879
-1.871627757,-0.036867075
-1.871598911,-0.036866264
-1.871569841,-0.036865447
-1.871540544,-0.036864623
-1.87151102,-0.036863793
-1.871481268,-0.036862957
-1.871451287,-0.036862114
-1.871421076,-0.036861264
-1.871390635,-0.036860409
-1.871359962,-0.036859546
-1.871329057,-0.036858678
-1.871297918,-0.036857802
-1.871266545,-0.03685692
-1.871234938,-0.036856032
-1.871203094,-0.036855137
-1.871171014,-0.036854235
-1.871138696,-0.036853326
-1.87110614,-0.036852411
-1.871073344,-0.036851489
-1.871040308,-0.03685056
-1.87100703,-0.036849625
-1.870973511,-0.036848683
-1.870939749,-0.036847733
-1.870905743,-0.036846777
-1.870871492,-0.036845815
-1.870836996,-0.036844845
-1.870802253,-0.036843868
-1.870767263,-0.036842884
