Time(s),Current(A)
0,-1.71E-13
4.50E-09,1.58E-05
1.21E-08,3.83E-05
2.74E-08,7.57E-05
5.49E-08,1.15E-04
9.50E-08,1.39E-04
1.48E-07,1.45E-04
2.21E-07,1.43E-04
3.16E-07,1.38E-04
4.35E-07,1.33E-04
5.80E-07,1.28E-04
7.54E-07,1.22E-04
9.60E-07,1.17E-04
1.00E-06,1.16E-04
1.00E-06,1.12E-04
1.22E-06,1.35E-05
1.46E-06,1.46E-06
1.73E-06,-9.43E-07
2.04E-06,6.40E-07
2.38E-06,-4.51E-07
2.75E-06,3.30E-07
3.17E-06,-2.47E-07
3.62E-06,1.91E-07
4.11E-06,-1.50E-07
4.65E-06,1.21E-07
5.23E-06,-9.83E-08
5.86E-06,8.22E-08
6.53E-06,-6.84E-08
7.26E-06,5.89E-08
8.03E-06,-4.99E-08
8.87E-06,4.41E-08
9.75E-06,-3.79E-08
1.07E-05,3.42E-08
1.17E-05,-2.97E-08
1.28E-05,2.73E-08
1.39E-05,-2.39E-08
1.51E-05,2.24E-08
1.63E-05,-1.96E-08
1.77E-05,1.87E-08
1.91E-05,-1.65E-08
2.05E-05,1.60E-08
2.21E-05,-1.40E-08
2.37E-05,1.38E-08
2.54E-05,-1.21E-08
2.71E-05,1.21E-08
2.90E-05,-1.06E-08
3.09E-05,1.08E-08
3.29E-05,-9.36E-09
3.50E-05,9.64E-09
3.72E-05,-8.35E-09
3.95E-05,8.72E-09
4.19E-05,-7.51E-09
4.43E-05,7.95E-09
4.69E-05,-6.80E-09
4.96E-05,7.30E-09
5.23E-05,-6.20E-09
5.52E-05,6.75E-09
5.81E-05,-5.69E-09
6.12E-05,6.27E-09
6.43E-05,-5.25E-09
6.76E-05,5.86E-09
7.10E-05,-4.87E-09
7.45E-05,5.50E-09
7.81E-05,-4.53E-09
8.18E-05,5.18E-09
8.56E-05,-4.23E-09
8.96E-05,4.91E-09
9.37E-05,-3.97E-09
9.78E-05,4.66E-09
1.02E-04,-3.73E-09
1.07E-04,4.44E-09
1.11E-04,-3.52E-09
1.16E-04,4.24E-09
1.21E-04,-3.34E-09
1.26E-04,4.06E-09
1.31E-04,-3.17E-09
1.36E-04,3.90E-09
1.41E-04,-3.01E-09
1.47E-04,3.75E-09
1.53E-04,-2.87E-09
1.58E-04,3.61E-09
1.64E-04,-2.74E-09
1.70E-04,3.49E-09
1.77E-04,-2.62E-09
1.83E-04,3.38E-09
1.89E-04,-2.52E-09
1.96E-04,3.28E-09
2.03E-04,-2.42E-09
2.10E-04,3.18E-09
2.17E-04,-2.33E-09
2.24E-04,3.09E-09
2.32E-04,-2.24E-09
2.40E-04,3.01E-09
2.47E-04,-2.16E-09
2.55E-04,2.93E-09
2.64E-04,-2.09E-09
2.72E-04,2.86E-09
2.80E-04,-2.02E-09
2.89E-04,2.80E-09
2.98E-04,-1.96E-09
3.07E-04,2.73E-09
3.16E-04,-1.90E-09
3.26E-04,2.68E-09
3.35E-04,-1.84E-09
3.45E-04,2.62E-09
3.55E-04,-1.79E-09
3.65E-04,2.57E-09
3.75E-04,-1.74E-09
3.86E-04,2.52E-09
3.96E-04,-1.69E-09
4.07E-04,2.48E-09
4.19E-04,-1.65E-09
4.30E-04,2.43E-09
4.41E-04,-1.60E-09
4.53E-04,2.39E-09
4.65E-04,-1.57E-09
4.77E-04,2.36E-09
4.89E-04,-1.53E-09
5.02E-04,2.32E-09
5.15E-04,-1.49E-09
5.28E-04,2.28E-09
5.41E-04,-1.46E-09
5.54E-04,2.25E-09
5.68E-04,-1.43E-09
5.82E-04,2.22E-09
5.96E-04,-1.40E-09
6.10E-04,2.19E-09
6.25E-04,-1.37E-09
6.40E-04,2.16E-09
6.54E-04,-1.34E-09
6.70E-04,2.14E-09
6.85E-04,-1.31E-09
7.01E-04,2.11E-09
7.17E-04,-1.29E-09
7.33E-04,2.08E-09
7.49E-04,-1.26E-09
7.66E-04,2.06E-09
7.83E-04,-1.24E-09
8.00E-04,2.04E-09
8.17E-04,-1.22E-09
8.35E-04,2.02E-09
8.53E-04,-1.20E-09
8.71E-04,2.00E-09
8.90E-04,-1.18E-09
9.08E-04,1.98E-09
9.27E-04,-1.16E-09
9.46E-04,1.96E-09
9.66E-04,-1.14E-09
9.85E-04,1.94E-09
0.001005436,-1.12E-09
0.00102568,1.92E-09
0.001046193,-1.10E-09
0.001066978,1.90E-09
0.001088037,-1.09E-09
0.001109371,1.89E-09
0.001130982,-1.07E-09
0.001152872,1.87E-09
0.001175043,-1.05E-09
0.001197496,1.86E-09
0.001220233,-1.04E-09
0.001243257,1.84E-09
0.001266568,-1.02E-09
0.001290168,1.83E-09
0.00131406,-1.01E-09
0.001338245,1.81E-09
0.001362726,-9.97E-10
0.001387502,1.80E-09
0.001412578,-9.84E-10
0.001437953,1.79E-09
0.001463631,-9.71E-10
0.001489613,1.77E-09
0.0015159,-9.59E-10
0.001542495,1.76E-09
0.001569399,-9.47E-10
0.001596614,1.75E-09
0.001624142,-9.36E-10
0.001651984,1.74E-09
0.001680143,-9.24E-10
0.00170862,1.73E-09
0.001737417,-9.14E-10
0.001766536,1.72E-09
0.001795978,-9.03E-10
0.001825745,1.71E-09
0.00185584,-8.93E-10
0.001886264,1.70E-09
0.001917018,-8.83E-10
0.001948105,1.69E-09
0.001979526,-8.73E-10
0.002011283,1.68E-09
0.002043378,-8.64E-10
0.002075812,1.67E-09
0.002108588,-8.55E-10
0.002141708,1.66E-09
0.002175172,-8.46E-10
0.002208983,1.65E-09
0.002243142,-8.38E-10
0.002277652,1.64E-09
0.002312514,-8.29E-10
0.00234773,1.63E-09
0.002383302,-8.21E-10
0.002419231,1.63E-09
0.002455519,-8.13E-10
0.002492169,1.62E-09
0.002529181,-8.05E-10
0.002566558,1.61E-09
0.002604302,-7.98E-10
0.002642414,1.60E-09
0.002680895,-7.91E-10
0.002719749,1.60E-09
0.002758976,-7.83E-10
0.002798579,1.59E-09
0.002838558,-7.76E-10
0.002878917,1.58E-09
0.002919656,-7.70E-10
0.002960778,1.58E-09
0.003002285,-7.63E-10
0.003044177,1.57E-09
0.003086457,-7.57E-10
0.003129127,1.56E-09
0.003172188,-7.50E-10
0.003215643,1.56E-09
0.003259493,-7.44E-10
0.003303739,1.55E-09
0.003348384,-7.38E-10
0.00339343,1.54E-09
0.003438878,-7.32E-10
0.003484729,1.54E-09
0.003530987,-7.26E-10
0.003577652,1.53E-09
0.003624726,-7.21E-10
0.003672212,1.53E-09
0.00372011,-7.15E-10
0.003768423,1.52E-09
0.003817153,-7.10E-10
0.003866301,1.52E-09
0.003915869,-7.05E-10
0.003965859,1.51E-09
0.004016272,-6.99E-10
0.004067111,1.51E-09
0.004118377,-6.94E-10
0.004170072,1.50E-09
0.004222198,-6.89E-10
0.004274756,1.50E-09
0.004327749,-6.85E-10
0.004381178,1.49E-09
0.004435045,-6.80E-10
0.004489352,1.49E-09
0.0045441,-6.75E-10
0.004599292,1.48E-09
0.004654928,-6.71E-10
0.004711012,1.48E-09
0.004767544,-6.66E-10
0.004824526,1.47E-09
0.004881961,-6.62E-10
0.00493985,1.47E-09
0.004998195,-6.57E-10
0.005056997,1.46E-09
0.005116259,-6.53E-10
0.005175982,1.46E-09
0.005236167,-6.49E-10
0.005296818,1.46E-09
0.005357935,-6.45E-10
0.005419521,1.45E-09
0.005481576,-6.41E-10
0.005544104,1.45E-09
0.005607105,-6.37E-10
0.005670582,1.44E-09
0.005734536,-6.33E-10
0.005798968,1.44E-09
0.005863882,-6.30E-10
0.005929279,1.44E-09
0.00599516,-6.26E-10
0.006061527,1.43E-09
0.006128382,-6.22E-10
0.006195727,1.43E-09
0.006263563,-6.19E-10
0.006331893,1.43E-09
0.006400718,-6.15E-10
0.00647004,1.42E-09
0.00653986,-6.12E-10
0.006610181,1.42E-09
0.006681005,-6.08E-10
0.006752332,1.42E-09
0.006824165,-6.05E-10
0.006896506,1.41E-09
0.006969357,-6.02E-10
0.007042718,1.41E-09
0.007116593,-5.99E-10
0.007190983,1.41E-09
0.007265889,-5.96E-10
0.007341313,1.40E-09
0.007417258,-5.92E-10
0.007493724,1.40E-09
0.007570715,-5.89E-10
0.00764823,1.40E-09
0.007726274,-5.86E-10
0.007804846,1.39E-09
0.007883949,-5.84E-10
0.007963585,1.39E-09
0.008043755,-5.81E-10
0.008124462,1.39E-09
0.008205706,-5.78E-10
0.008287491,1.39E-09
0.008369817,-5.75E-10
0.008452686,1.38E-09
0.008536101,-5.72E-10
0.008620063,1.38E-09
0.008704573,-5.70E-10
0.008789634,1.38E-09
0.008875247,-5.67E-10
0.008961415,1.37E-09
0.009048138,-5.64E-10
0.009135419,1.37E-09
0.00922326,-5.62E-10
0.009311662,1.37E-09
0.009400627,-5.59E-10
0.009490157,1.37E-09
0.009580253,-5.57E-10
0.009670918,1.36E-09
0.009762153,-5.54E-10
0.00985396,1.36E-09
0.009946341,-5.52E-10
0.010039297,1.36E-09
0.010132831,-5.49E-10
0.010226944,1.36E-09
0.010321638,-5.47E-10
0.010416915,1.35E-09
0.010512776,-5.45E-10
0.010609223,1.35E-09
0.010706259,-5.42E-10
0.010803884,1.35E-09
0.010902102,-5.40E-10
0.011000912,1.35E-09
0.011100318,-5.38E-10
0.011200321,1.35E-09
0.011300922,-5.36E-10
0.011402125,1.34E-09
0.011503929,-5.33E-10
0.011606338,1.34E-09
0.011709353,-5.31E-10
0.011812976,1.34E-09
0.011917208,-5.29E-10
0.012022051,1.34E-09
0.012127508,-5.27E-10
0.012233579,1.34E-09
0.012340268,-5.25E-10
0.012447574,1.33E-09
0.012555501,-5.23E-10
0.01266405,1.33E-09
0.012773223,-5.21E-10
0.012883022,1.33E-09
0.012993447,-5.19E-10
0.013104503,1.33E-09
0.013216189,-5.17E-10
0.013328508,1.33E-09
0.013441461,-5.15E-10
0.013555051,1.32E-09
0.013669279,-5.13E-10
0.013784147,1.32E-09
0.013899656,-5.11E-10
0.014015809,1.32E-09
0.014132608,-5.10E-10
0.014250053,1.32E-09
0.014368148,-5.08E-10
0.014486893,1.32E-09
0.01460629,-5.06E-10
0.014726342,1.31E-09
0.01484705,-5.04E-10
0.014968415,1.31E-09
0.01509044,-5.02E-10
0.015213127,1.31E-09
0.015336476,-5.01E-10
0.015460491,1.31E-09
0.015585172,-4.99E-10
0.015710522,1.31E-09
0.015836543,-4.97E-10
0.015963235,1.31E-09
0.016090601,-4.96E-10
0.016218643,1.30E-09
0.016347362,-4.94E-10
0.016476761,1.30E-09
0.016606841,-4.92E-10
0.016737603,1.30E-09
0.016869051,-4.91E-10
0.017001184,1.30E-09
0.017134006,-4.89E-10
0.017267518,1.30E-09
0.017401721,-4.88E-10
0.017536618,1.30E-09
0.017672211,-4.86E-10
0.0178085,1.29E-09
0.017945489,-4.85E-10
0.018083178,1.29E-09
0.018221569,-4.83E-10
0.018360665,1.29E-09
0.018500467,-4.82E-10
0.018640977,1.29E-09
0.018782197,-4.80E-10
0.018924128,1.29E-09
0.019066772,-4.79E-10
0.019210131,1.29E-09
0.019354207,-4.77E-10
0.019499002,1.29E-09
0.019644517,-4.76E-10
0.019790754,1.28E-09
