Voltage(V),Current(A)
-3.282627984,-0.030533509
-3.282627984,-0.030533509
-3.282627984,-0.030533509
-3.282627984,-0.030533509
-3.282627984,-0.030533509
-3.282627983,-0.030533508
-3.282627983,-0.030533508
-3.282627983,-0.030533507
-3.282627982,-0.030533506
-3.282627981,-0.030533504
-3.28262798,-0.030533503
-3.282627979,-0.030533501
-3.282627978,-0.030533499
-3.282627976,-0.030533496
-3.282627974,-0.030533493
-3.282627972,-0.03053349
-3.28262797,-0.030533486
-3.282627967,-0.030533481
-3.282627964,-0.030533477
-3.282627961,-0.030533471
-3.282627957,-0.030533465
-3.282627953,-0.030533459
-3.282627949,-0.030533451
-3.282627944,-0.030533443
-3.282627938,-0.030533435
-3.282627933,-0.030533426
-3.282627927,-0.030533416
-3.28262792,-0.030533405
-3.282627913,-0.030533393
-3.282627905,-0.030533381
-3.282627897,-0.030533368
-3.282627889,-0.030533353
-3.282627879,-0.030533338
-3.282627869,-0.030533322
-3.282627859,-0.030533305
-3.282627848,-0.030533287
-3.282627836,-0.030533268
-3.282627824,-0.030533248
-3.282627811,-0.030533227
-3.282627797,-0.030533205
-3.282627783,-0.030533181
-3.282627768,-0.030533157
-3.282627752,-0.030533131
-3.282627736,-0.030533104
-3.282627718,-0.030533076
-3.2826277,-0.030533046
-3.282627681,-0.030533015
-3.282627662,-0.030532983
-3.282627641,-0.030532949
-3.28262762,-0.030532914
-3.282627597,-0.030532878
-3.282627574,-0.03053284
-3.28262755,-0.030532801
-3.282627525,-0.03053276
-3.282627499,-0.030532718
-3.282627472,-0.030532674
-3.282627444,-0.030532628
-3.282627415,-0.030532581
-3.282627385,-0.030532532
-3.282627354,-0.030532481
-3.282627322,-0.030532429
-3.282627289,-0.030532375
-3.282627255,-0.030532319
-3.28262722,-0.030532262
-3.282627183,-0.030532202
-3.282627146,-0.030532141
-3.282627107,-0.030532078
-3.282627067,-0.030532013
-3.282627026,-0.030531946
-3.282626984,-0.030531877
-3.28262694,-0.030531806
-3.282626896,-0.030531733
-3.28262685,-0.030531658
-3.282626802,-0.030531581
-3.282626754,-0.030531502
-3.282626704,-0.03053142
-3.282626653,-0.030531337
-3.2826266,-0.030531251
-3.282626546,-0.030531163
-3.282626491,-0.030531073
-3.282626434,-0.03053098
-3.282626376,-0.030530885
-3.282626317,-0.030530788
-3.282626256,-0.030530689
-3.282626193,-0.030530587
-3.282626129,-0.030530482
-3.282626064,-0.030530375
-3.282625997,-0.030530266
-3.282625928,-0.030530154
-3.282625858,-0.03053004
-3.282625786,-0.030529923
-3.282625713,-0.030529803
-3.282625638,-0.030529681
-3.282625562,-0.030529556
-3.282625484,-0.030529429
-3.282625404,-0.030529299
-3.282625322,-0.030529166
-3.282625239,-0.03052903
-3.282625154,-0.030528892
-3.282625068,-0.03052875
-3.282624979,-0.030528606
-3.282624889,-0.030528459
-3.282624797,-0.030528309
-3.282624703,-0.030528156
-3.282624608,-0.030528
-3.28262451,-0.030527841
-3.282624411,-0.030527679
-3.28262431,-0.030527514
-3.282624207,-0.030527346
-3.282624102,-0.030527175
-3.282623995,-0.030527
-3.282623886,-0.030526823
-3.282623776,-0.030526642
-3.282623663,-0.030526458
-3.282623548,-0.030526271
-3.282623431,-0.030526081
-3.282623313,-0.030525887
-3.282623192,-0.03052569
-3.282623069,-0.030525489
-3.282622944,-0.030525285
-3.282622817,-0.030525078
-3.282622688,-0.030524867
-3.282622556,-0.030524653
-3.282622423,-0.030524435
-3.282622287,-0.030524214
-3.282622149,-0.030523989
-3.282622009,-0.030523761
-3.282621867,-0.030523528
-3.282621722,-0.030523293
-3.282621576,-0.030523053
-3.282621427,-0.03052281
-3.282621275,-0.030522563
-3.282621122,-0.030522312
-3.282620966,-0.030522058
-3.282620807,-0.0305218
-3.282620647,-0.030521538
-3.282620483,-0.030521272
-3.282620318,-0.030521002
-3.28262015,-0.030520728
-3.28261998,-0.03052045
-3.282619807,-0.030520168
-3.282619632,-0.030519882
-3.282619454,-0.030519592
-3.282619274,-0.030519298
