#Digilent WaveForms Network Analyzer - Bode
#Device Name: Alan
#Serial Number: SN:210321A3716A
#Date Time: 2024-03-12 16:11:52.807
#Start: 9.892 Hz
#Stop: 1e+07 Hz
#Steps: 100
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16
#Channel: Channel 2
#Range: 5.45542 V
#Offset: 8.94103e-05 V
#Relative: yes

Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (°)
9.8920000000000083,20.925187034389769,-0.013536814375370909
11.374643749620471,20.925655791530385,-0.011891059164849338
13.079510759278199,20.925453590742254,-0.0053599115522047214
15.039908542874784,20.926020541029523,-0.0039144106569750647
17.29413684816765,20.925838499758051,-0.016937589257949526
19.886235908318913,20.925654715555222,-0.019847240781416531
22.866846843715905,20.925936588134746,-0.014010451924789891
26.294201023493937,20.925267145024048,-0.0097873202802958303
30.235257715643819,20.926370455371291,-0.012210269702904952
34.767012251659168,20.926489307076757,-0.0085361503769618707
39.978000262971392,20.926506616412453,-0.0258836503672768
45.970027377025147,20.926969670554261,-0.022247441944280411
52.860158165584373,20.925369658629464,-0.032491620640030305
60.783003202801588,20.92516076150865,-0.03582091559010081
69.89334891466919,20.926248672061707,-0.037570775066740225
80.369181598492119,20.925826674240415,-0.052547671917771765
92.415164691811768,20.925590967548466,-0.054937696841562911
106.26663722521837,20.926266315822176,-0.059340989091111851
122.19421157571956,20.925503398309168,-0.065303053123948018
140.50906034568933,20.927374179924222,-0.087577859054107421
161.56899565569515,20.926088065937705,-0.094181841019832291
185.78545962065428,20.925242686946923,-0.10543977947041583
213.63156258031134,20.926795900118144,-0.11395844963978163
245.65132612472564,20.92655492967026,-0.14881719800098381
282.47031149318582,20.927059637502481,-0.15021684455516038
324.80784099063055,20.925653896634813,-0.18806496308488008
373.49105118800901,20.925017530891985,-0.21344779997922103
429.47105246005486,20.927285225108889,-0.24342830624678413
493.84151056487008,20.928259804200774,-0.3090307014712721
567.86001328849727,20.923866935996053,-0.31411444258372967
652.9726395886978,20.926975456257505,-0.37017598939941898
750.84221123845248,20.924777363311389,-0.42674368538907004
863.38077891373541,20.92522005878029,-0.49799894084122265
992.78697739724487,20.923730035981151,-0.5600273147992425
1141.5889796963377,20.927767689343423,-0.65141802089473799
1312.693889257841,20.927092326608744,-0.74867716867926326
1509.4445352417788,20.926540228479105,-0.84900824161488231
1735.6847804474976,20.926136254919122,-1.0019701647012198
1995.8346177950395,20.927235943603982,-1.1581113271087844
2294.9765225008559,20.927738511231098,-1.3324286390692066
2638.9547469864606,20.927949938136059,-1.5245277641012933
3034.4894984169855,20.927834119145952,-1.7640808646022776
3489.3082295246395,20.929926461987385,-2.0318117811318359
4012.2966077094252,20.930450555429061,-2.3332280766954625
4613.6721118586129,20.926522788278604,-2.7058740630638454
5305.1836483977831,20.93270007980896,-3.1410896251437634
6100.3410864169491,20.922201584121758,-3.6148334440868126
7014.6791962358921,20.922263199797648,-4.2042026460667046
8066.0611479030895,20.9142333878305,-4.8048223458951185
9275.0274989943809,20.906118663443625,-5.603523188011394
10665.197489789158,20.890208529256455,-6.4128208445965527
12263.730485816615,20.879749560703043,-7.4039458762883612
14101.856582847151,20.853027857234746,-8.5445168916274952
16215.486740611253,20.818010995722169,-9.7909810528741374
18645.914365259512,20.781777048413215,-11.259667869628714
21440.622047185374,20.724507243927256,-12.922721311092317
24654.209215223593,20.649800336902715,-14.812431983041016
28349.458830547766,20.546929609503522,-16.921456679395845
32598.563959968909,20.424252053465985,-19.33057664493289
37484.538191858388,20.259729750402844,-22.062486506555576
43102.837449598868,20.058721516366774,-25.01531933678784
49563.224887483433,19.796711211550452,-28.226774021613778
56991.915303017377,19.446827721238858,-31.700662900309041
65534.040960408885,19.049134410158025,-35.449618625654011
75356.486999361805,18.560646725119298,-39.499524184140668
86651.151823761262,17.975623204538962,-43.391690669371599
99638.696167565577,17.301127782724976,-47.321276480675991
114572.85408236284,16.556248899968207,-51.071044433259793
131745.39006915945,15.699198746911083,-54.740118323045976
151491.7992005132,14.799338954767363,-58.093958701057083
174197.86159471032,13.822991051391478,-61.007590746363135
200307.17929493744,12.810983180139303,-63.639607601660032
230329.84279935987,11.779838146127757,-65.957666992342226
264852.39655770326,10.711444744877152,-67.886304773785213
304549.29812748515,9.6223736104344635,-69.493367498058944
350196.09486424341,8.5415772995111254,-70.772144959515003
402684.57557511714,7.4695972927491185,-71.794386882375477
463040.19314942166,6.3857886623657993,-72.507392015213952
532442.09854732291,5.3332875636243049,-73.063472120167546
612246.17754509847,4.3152741317070786,-73.354721407068439
704011.54029947135,3.3268742820975996,-73.632704332306503
809530.98125031032,2.3707100823278191,-73.80049371315863
930866.00444833771,1.4573613617296193,-74.054563294446794
1070387.0985879952,0.61264940146468216,-74.448841907800983
1230820.0485875795,-0.20224884380183145,-75.118932839993036
1415299.1884931521,-0.95377558516308381,-76.139509248556323
1627428.6360934654,-1.6651148846667767,-77.671955729582805
1871352.705569539,-2.3608122414241519,-80.042513976219368
2151836.8738113511,-3.0484166830965878,-83.306565135003495
2474360.8822180699,-3.7475279276280888,-87.793611347839729
2845225.7928858809,-4.5589025126394507,-93.905904481461789
3271677.0907105077,-5.5802523406388493,-101.84077849315057
3762046.2364159641,-6.9758081016153692,-111.45817663190829
4325913.4359919196,-8.9783274096931915,-121.97483292221563
4974294.8065208904,-11.719726017205513,-130.47205236003563
5719857.5950022591,-14.88406012468737,-133.50086944521149
6577167.6548434729,-17.672560370783447,-130.77096870473287
7562974.0148980143,-19.568730229590162,-128.12995861310358
8696536.1005966198,-21.419857269824824,-128.27347352132691
10000000,-23.990680689693132,-132.04700944229145
