VDiode! (V),Current (A)
-0.751025485,-0.004215374
-0.751025485,-0.004211736
-0.751025485,-0.004208099
-0.751025485,-0.004208099
-0.751025485,-0.004204461
-0.751025485,-0.004204461
-0.751025485,-0.004200823
-0.750692512,-0.004197185
-0.750692512,-0.004197185
-0.750692512,-0.004193547
-0.750692512,-0.004189909
-0.750692512,-0.004186271
-0.750692512,-0.004186271
-0.750692512,-0.004182633
-0.75035954,-0.004178995
-0.75035954,-0.004178995
-0.75035954,-0.004175357
-0.75035954,-0.00417172
-0.750026567,-0.00417172
-0.750026567,-0.004168082
-0.750026567,-0.004168082
-0.750026567,-0.004164444
-0.749693594,-0.004160806
-0.749693594,-0.004160806
-0.749693594,-0.004157168
-0.749360622,-0.00415353
-0.749360622,-0.004149892
-0.749360622,-0.004149892
-0.749360622,-0.004146254
-0.749360622,-0.004142616
-0.749360622,-0.004142616
-0.749360622,-0.004138979
-0.749027649,-0.004135341
-0.749027649,-0.004135341
-0.749027649,-0.004131703
-0.748694677,-0.004128065
-0.749027649,-0.004124427
-0.748694677,-0.004124427
-0.748694677,-0.004120789
-0.748694677,-0.004120789
-0.748361704,-0.004117151
-0.748361704,-0.004113513
-0.748361704,-0.004113513
-0.748361704,-0.004109875
-0.748361704,-0.004106238
-0.748361704,-0.004106238
-0.748028731,-0.0041026
-0.748028731,-0.004098962
-0.748028731,-0.004098962
-0.748028731,-0.004095324
-0.748028731,-0.004091686
-0.748028731,-0.004091686
-0.747695759,-0.004088048
-0.747695759,-0.00408441
-0.747695759,-0.00408441
-0.747695759,-0.004080772
-0.747695759,-0.004077134
-0.747362786,-0.004077134
-0.747362786,-0.004073496
-0.747029813,-0.004069859
-0.747029813,-0.004069859
-0.747029813,-0.004066221
-0.747029813,-0.004062583
-0.746696841,-0.004062583
-0.746696841,-0.004058945
-0.746696841,-0.004058945
-0.746696841,-0.004055307
-0.746696841,-0.004051669
-0.746696841,-0.004051669
-0.746363868,-0.004048031
-0.746363868,-0.004044393
-0.746363868,-0.004040755
-0.746363868,-0.004040755
-0.746363868,-0.004037118
-0.746030896,-0.00403348
-0.746030896,-0.00403348
-0.746030896,-0.004029842
-0.746030896,-0.004026204
-0.745697923,-0.004026204
-0.745697923,-0.004022566
-0.745697923,-0.004022566
-0.745697923,-0.004018928
-0.745697923,-0.00401529
-0.74536495,-0.00401529
-0.74536495,-0.004011652
-0.74536495,-0.004008014
-0.74536495,-0.004008014
-0.74536495,-0.004004376
-0.745031978,-0.004000739
-0.745031978,-0.003997101
-0.745031978,-0.003997101
-0.745031978,-0.003993463
-0.745031978,-0.003993463
-0.745031978,-0.003989825
-0.744699005,-0.003986187
-0.744699005,-0.003986187
-0.744699005,-0.003982549
-0.744699005,-0.003978911
-0.744366033,-0.003978911
-0.744366033,-0.003975273
-0.744366033,-0.003971635
-0.744366033,-0.003971635
-0.744366033,-0.003967998
-0.74403306,-0.00396436
-0.74403306,-0.003960722
-0.74403306,-0.003960722
-0.74403306,-0.003957084
-0.74403306,-0.003957084
-0.74403306,-0.003953446
-0.743700087,-0.003949808
-0.743700087,-0.003949808
-0.743700087,-0.00394617
-0.743367115,-0.003942532
-0.743367115,-0.003942532
-0.743367115,-0.003938894
-0.743367115,-0.003935257
-0.743367115,-0.003935257
-0.743034142,-0.003931619
-0.743034142,-0.003927981
-0.743034142,-0.003927981
-0.74270117,-0.003924343
-0.74270117,-0.003920705
-0.74270117,-0.003917067
-0.74270117,-0.003917067
-0.74270117,-0.003913429
-0.74270117,-0.003913429
-0.742368197,-0.003909791
-0.742368197,-0.003906153
-0.742368197,-0.003906153
-0.742035224,-0.003902515
-0.742035224,-0.003902515
-0.742035224,-0.003898878
-0.742035224,-0.00389524
-0.742035224,-0.003891602
-0.741702252,-0.003891602
-0.741702252,-0.003887964
-0.741702252,-0.003884326
-0.741369279,-0.003884326
-0.741369279,-0.003880688
-0.741369279,-0.00387705
-0.741369279,-0.00387705
-0.741369279,-0.003873412
-0.741369279,-0.003869774
-0.741369279,-0.003869774
-0.741369279,-0.003866137
-0.741036306,-0.003862499
-0.741036306,-0.003862499
-0.741036306,-0.003858861
-0.741036306,-0.003855223
-0.741036306,-0.003855223
-0.740703334,-0.003851585
-0.740703334,-0.003847947
-0.740703334,-0.003847947
-0.740370361,-0.003844309
-0.740370361,-0.003840671
-0.740370361,-0.003840671
-0.740370361,-0.003837033
-0.740037389,-0.003833396
-0.740037389,-0.003833396
-0.740037389,-0.003829758
-0.740037389,-0.00382612
-0.740037389,-0.00382612
-0.739704416,-0.003822482
-0.739704416,-0.003818844
-0.739704416,-0.003818844
-0.739704416,-0.003815206
-0.739371443,-0.003815206
-0.739371443,-0.003811568
-0.739371443,-0.00380793
-0.739371443,-0.00380793
-0.739038471,-0.003804292
-0.739038471,-0.003800654
-0.739038471,-0.003800654
-0.739038471,-0.003797017
-0.739038471,-0.003797017
-0.739038471,-0.003793379
-0.738705498,-0.003789741
-0.738705498,-0.003786103
-0.738372526,-0.003786103
-0.738372526,-0.003782465
-0.738372526,-0.003782465
-0.738372526,-0.003778827
-0.738372526,-0.003775189
-0.738372526,-0.003775189
-0.738372526,-0.003771551
-0.738372526,-0.003771551
-0.738372526,-0.003767913
-0.738039553,-0.003764276
-0.738039553,-0.003764276
-0.738039553,-0.003760638
-0.738039553,-0.003757
-0.73770658,-0.003757
-0.73770658,-0.003753362
-0.73770658,-0.003749724
-0.73770658,-0.003746086
-0.737373608,-0.003746086
-0.737373608,-0.003742448
-0.737373608,-0.00373881
-0.737373608,-0.00373881
-0.737373608,-0.003735172
-0.737373608,-0.003735172
-0.737040635,-0.003731535
-0.737040635,-0.003727897
-0.737040635,-0.003727897
-0.737040635,-0.003724259
-0.736707662,-0.003720621
-0.736707662,-0.003716983
